c1,c2,c3,color_code
176,153,176,0
176,153,176,0
176,153,176,0
177,154,177,0
177,154,177,0
177,154,177,0
177,154,177,0
176,153,176,0
176,153,176,0
176,153,176,0
176,153,176,0
177,154,177,0
167,149,173,0
173,151,174,0
174,152,175,0
174,152,175,0
175,151,175,0
175,152,175,0
176,153,177,0
177,153,176,0
176,154,177,0
176,154,177,0
176,154,176,0
176,153,177,0
176,153,176,0
176,153,176,0
176,154,176,0
177,154,177,0
177,154,178,0
178,156,178,0
178,155,177,0
178,155,178,0
177,155,177,0
177,154,177,0
176,154,177,0
176,154,177,0
177,154,177,0
177,154,177,0
177,155,177,0
177,155,178,0
178,155,178,0
177,155,177,0
177,154,177,0
176,153,177,0
176,153,176,0
176,153,177,0
176,154,177,0
177,154,177,0
177,154,177,0
177,154,178,0
178,154,177,0
177,154,177,0
176,153,176,0
175,152,175,0
175,152,175,0
175,152,176,0
175,152,175,0
175,153,176,0
176,153,176,0
176,152,176,0
177,153,176,0
175,152,176,0
175,150,175,0
172,147,174,0
170,146,173,0
169,145,173,0
169,144,173,0
168,143,173,0
167,142,172,0
167,142,173,0
168,144,175,0
170,145,174,0
167,143,173,0
168,142,173,0
166,141,172,0
165,140,173,0
165,140,173,0
165,139,173,0
165,139,173,0
164,139,174,0
165,139,173,0
163,138,172,0
163,137,172,0
163,137,172,0
163,137,172,0
163,137,172,0
162,136,171,0
165,141,171,0
166,145,172,0
170,147,173,0
170,147,172,0
170,146,172,0
169,146,171,0
169,145,171,0
169,145,171,0
169,145,171,0
169,146,171,0
169,146,171,0
170,146,172,0
170,146,172,0
169,145,172,0
167,143,171,0
166,140,171,0
164,138,171,0
162,136,172,0
161,134,172,0
161,135,172,0
162,135,173,0
161,135,172,0
162,137,171,0
163,139,171,0
166,142,171,0
167,143,170,0
167,143,170,0
167,143,170,0
167,145,172,0
172,149,174,0
172,151,175,0
174,151,176,0
174,151,176,0
175,152,176,0
175,152,176,0
175,152,176,0
175,152,176,0
175,152,176,0
175,152,177,0
175,152,177,0
176,152,177,0
177,153,177,0
176,153,178,0
176,153,177,0
175,152,177,0
175,152,176,0
175,152,176,0
175,152,176,0
175,152,176,0
176,152,177,0
175,153,178,0
177,153,177,0
176,153,177,0
176,153,177,0
175,152,177,0
176,153,176,0
175,151,176,0
175,151,176,0
175,151,176,0
175,152,176,0
175,152,177,0
176,153,177,0
176,154,177,0
176,153,177,0
176,153,177,0
175,153,177,0
175,152,177,0
175,152,176,0
175,152,176,0
175,152,176,0
175,152,177,0
176,153,177,0
175,153,177,0
177,154,178,0
176,153,178,0
176,153,178,0
175,153,177,0
175,153,177,0
175,152,176,0
175,152,176,0
175,152,176,0
175,152,177,0
176,152,177,0
176,153,177,0
176,153,177,0
176,153,177,0
176,153,178,0
176,154,177,0
176,153,177,0
175,152,177,0
175,152,176,0
175,152,176,0
175,152,176,0
175,152,177,0
176,153,177,0
176,152,177,0
176,153,178,0
176,153,178,0
177,153,177,0
176,153,177,0
176,153,177,0
175,151,176,0
175,152,176,0
175,152,176,0
175,152,176,0
175,153,177,0
176,153,177,0
176,153,177,0
176,153,178,0
177,153,177,0
176,153,177,0
176,153,177,0
175,152,177,0
175,152,176,0
175,152,176,0
175,152,176,0
175,152,176,0
177,152,177,0
175,153,177,0
176,153,178,0
176,153,178,0
176,153,178,0
176,153,177,0
176,153,177,0
176,153,177,0
175,152,176,0
176,152,176,0
175,152,176,0
175,151,177,0
175,152,178,0
176,153,177,0
176,153,178,0
177,154,178,0
177,153,178,0
177,154,177,0
176,152,178,0
176,153,177,0
175,152,177,0
175,152,176,0
175,152,176,0
175,152,177,0
176,152,177,0
175,153,177,0
176,153,178,0
176,154,178,0
177,153,178,0
177,154,178,0
176,153,177,0
176,153,177,0
176,153,177,0
175,153,176,0
175,152,176,0
175,152,176,0
175,152,177,0
176,153,177,0
176,152,177,0
176,153,178,0
176,153,177,0
177,154,176,0
176,154,177,0
175,153,177,0
176,153,177,0
175,152,176,0
175,152,176,0
175,152,177,0
176,152,176,0
174,153,176,0
176,153,177,0
176,153,177,0
177,154,178,0
176,154,177,0
176,153,177,0
176,153,177,0
175,153,177,0
176,152,176,0
175,153,176,0
175,152,177,0
176,153,177,0
176,153,177,0
176,153,177,0
176,153,178,0
176,154,178,0
177,153,178,0
176,153,178,0
176,153,177,0
176,153,177,0
176,152,176,0
175,152,177,0
175,152,177,0
176,152,177,0
176,153,177,0
176,153,177,0
176,153,178,0
177,154,178,0
177,154,178,0
177,153,178,0
176,153,177,0
176,152,176,0
175,152,176,0
176,152,176,0
175,152,176,0
175,152,177,0
176,153,177,0
176,153,178,0
176,153,178,0
176,154,178,0
176,154,178,0
176,153,177,0
176,152,177,0
175,152,177,0
176,152,176,0
175,152,177,0
175,152,177,0
55,32,51,1
55,32,50,1
54,32,48,1
41,24,32,1
39,24,32,1
39,23,31,1
38,23,30,1
37,22,29,1
43,25,35,1
43,25,35,1
42,25,36,1
43,25,35,1
42,25,33,1
41,24,32,1
39,24,32,1
39,23,31,1
38,23,30,1
37,22,29,1
10,6,12,1
17,11,15,1
22,15,19,1
27,16,22,1
29,17,23,1
30,18,25,1
31,20,26,1
32,19,26,1
32,19,26,1
33,20,26,1
33,20,25,1
33,20,26,1
34,20,27,1
33,20,26,1
35,20,27,1
34,21,26,1
33,20,26,1
33,21,26,1
34,19,26,1
33,20,26,1
33,20,26,1
33,20,26,1
34,20,26,1
33,21,26,1
33,20,26,1
33,20,26,1
33,20,26,1
34,19,26,1
33,20,26,1
34,19,26,1
33,21,26,1
34,20,25,1
33,20,25,1
33,20,26,1
33,20,25,1
33,20,25,1
31,20,23,1
31,19,24,1
30,19,23,1
31,19,25,1
31,19,24,1
31,19,23,1
30,19,22,1
30,19,23,1
30,18,23,1
30,18,22,1
30,18,23,1
29,18,22,1
30,18,23,1
30,19,23,1
30,18,23,1
30,19,23,1
30,18,23,1
30,19,23,1
31,19,23,1
30,19,23,1
31,19,24,1
31,19,24,1
31,18,24,1
31,18,24,1
31,19,23,1
31,19,24,1
31,19,22,1
31,19,24,1
31,19,25,1
33,19,26,1
31,20,25,1
32,19,25,1
32,20,25,1
32,20,25,1
32,20,25,1
32,20,25,1
32,18,24,1
31,19,24,1
31,19,24,1
30,19,24,1
31,19,25,1
31,19,25,1
31,19,24,1
31,19,24,1
33,19,25,1
33,20,25,1
33,20,27,1
34,21,55,1
48,28,64,1
53,31,67,1
55,31,65,1
55,31,66,1
57,32,57,1
53,30,58,1
52,30,57,1
53,30,59,1
53,30,61,1
54,30,62,1
54,32,68,1
57,32,69,1
57,33,74,1
61,34,87,1
65,36,94,1
73,40,99,1
72,40,97,1
71,38,94,1
69,38,92,1
69,38,92,1
68,38,92,1
69,38,92,1
68,38,92,1
69,38,93,1
69,38,92,1
68,38,95,1
70,39,95,1
70,38,95,1
70,39,95,1
70,38,94,1
70,38,71,1
60,33,65,1
58,33,66,1
59,33,64,1
58,33,62,1
56,32,84,1
66,36,89,1
67,37,90,1
68,37,90,1
68,38,85,1
65,36,78,1
64,35,65,1
56,31,41,1
47,27,39,1
45,27,37,1
43,26,36,1
42,26,39,1
44,26,43,1
45,27,41,1
45,26,42,1
45,27,43,1
46,27,47,1
49,28,48,1
48,28,46,1
48,27,45,1
47,27,46,1
48,27,49,1
49,28,53,1
52,29,68,1
58,33,69,1
58,34,68,1
58,33,66,1
57,32,67,1
57,32,68,1
58,32,67,1
100,50,141,2
96,50,130,2
93,48,124,2
93,47,121,2
90,47,110,2
89,45,102,2
83,44,92,2
82,41,84,2
77,41,78,2
16,9,31,2
38,21,48,2
49,27,55,2
56,30,61,2
60,33,63,2
62,32,66,2
63,35,66,2
65,33,68,2
65,36,69,2
66,35,72,2
68,37,92,2
77,40,129,2
98,51,141,2
98,49,142,2
96,50,143,2
98,48,141,2
95,50,139,2
96,48,146,2
94,48,132,2
94,47,250,2
97,50,103,2
90,45,100,2
80,43,109,2
83,43,108,2
80,46,104,2
81,43,107,2
80,44,106,2
81,43,106,2
80,43,105,2
79,44,99,2
79,42,95,2
76,42,102,2
80,42,104,2
78,43,105,2
80,42,107,2
79,43,108,2
80,43,106,2
80,43,105,2
79,42,105,2
79,43,106,2
79,43,106,2
80,42,108,2
83,45,114,2
98,49,120,2
103,52,106,2
99,49,105,2
102,52,108,2
109,52,110,2
110,54,110,2
109,53,107,2
106,51,108,2
109,53,108,2
109,53,108,2
108,54,107,2
108,52,107,2
107,53,106,2
106,52,102,2
95,50,92,2
81,43,91,2
78,43,90,2
76,42,97,2
79,43,103,2
80,44,101,2
80,43,100,2
79,44,104,2
81,43,111,2
82,45,109,2
83,44,109,2
83,45,111,2
84,46,111,2
85,46,198,2
146,69,374,2
247,100,425,2
229,98,353,2
176,79,116,2
97,53,89,2
88,47,82,2
80,44,73,2
74,40,71,2
71,40,72,2
76,40,77,2
82,43,79,2
82,43,75,2
78,41,74,2
75,42,73,2
76,40,72,2
72,40,69,2
73,38,69,2
70,39,66,2
69,36,66,2
67,38,66,2
68,37,66,2
68,37,67,2
69,38,68,2
70,38,73,2
94,48,90,2
88,47,86,2
86,46,85,2
82,44,81,2
81,43,80,2
79,42,79,2
80,43,81,2
80,42,81,2
78,43,82,2
85,43,93,2
85,45,83,2
83,42,82,2
80,44,80,2
80,42,82,2
82,43,82,2
83,43,84,2
85,44,100,2
99,50,132,2
95,50,94,2
91,47,87,2
84,45,79,2
77,40,73,2
71,40,69,2
69,37,69,2
70,38,67,2
68,37,67,2
69,37,66,2
70,38,67,2
70,37,68,2
70,38,67,2
69,37,67,2
68,38,65,2
68,36,66,2
67,37,64,2
66,35,65,2
65,36,64,2
66,36,65,2
65,36,65,2
65,36,64,2
65,35,64,2
63,35,62,2
64,34,64,2
63,35,63,2
64,34,64,2
62,35,63,2
62,35,63,2
62,35,62,2
62,34,63,2
62,34,63,2
62,34,62,2
63,34,62,2
62,35,63,2
64,35,65,2
64,36,66,2
66,35,66,2
65,37,65,2
67,36,66,2
66,37,66,2
66,38,66,2
67,37,66,2
67,37,67,2
68,37,68,2
67,38,67,2
69,37,68,2
68,38,67,2
69,37,68,2
68,38,70,2
78,43,120,2
91,47,82,2
78,42,77,2
74,40,75,2
73,40,73,2
72,39,73,2
71,40,73,2
75,40,98,2
97,50,235,2
98,50,84,2
82,44,79,2
89,48,262,2
77,42,74,2
74,40,71,2
72,39,67,2
70,38,66,2
68,37,65,2
65,37,64,2
66,36,63,2
64,36,62,2
62,34,62,2
61,35,60,2
62,34,61,2
61,35,62,2
65,36,65,2
77,45,403,2
109,56,96,2
100,51,88,2
94,50,80,2
89,46,79,2
88,46,80,2
90,47,84,2
92,48,84,2
92,47,83,2
91,46,78,2
83,45,77,2
85,44,76,2
81,43,71,2
79,41,69,2
75,41,66,2
74,39,66,2
72,39,63,2
69,37,61,2
67,37,59,2
65,36,60,2
66,37,61,2
66,36,60,2
66,35,61,2
64,36,62,2
65,35,62,2
64,36,63,2
65,36,68,2
66,37,67,2
67,36,68,2
67,37,68,2
66,37,68,2
66,37,69,2
68,38,83,2
355,175,649,3
355,175,649,3
355,176,649,3
355,176,649,3
355,177,648,3
355,178,648,3
355,179,649,3
197,108,625,3
336,170,640,3
348,177,643,3
351,180,645,3
353,181,645,3
354,181,646,3
354,181,646,3
354,181,646,3
354,181,646,3
354,181,646,3
354,182,646,3
354,181,645,3
354,182,646,3
354,181,646,3
354,181,646,3
354,181,646,3
354,181,646,3
354,181,646,3
354,181,646,3
354,181,645,3
354,180,645,3
353,180,645,3
353,179,645,3
352,180,645,3
353,179,645,3
353,179,645,3
353,180,644,3
353,180,645,3
353,180,645,3
353,179,645,3
352,179,644,3
352,179,644,3
352,179,644,3
352,178,644,3
352,179,644,3
352,179,644,3
352,179,644,3
352,178,644,3
351,178,644,3
352,178,644,3
351,178,644,3
352,179,644,3
352,178,644,3
352,178,644,3
351,177,644,3
351,177,643,3
351,177,643,3
351,178,643,3
351,178,643,3
351,178,643,3
351,178,643,3
351,178,643,3
351,178,643,3
351,178,642,3
351,177,643,3
351,178,641,3
351,178,643,3
351,179,643,3
351,178,642,3
351,179,643,3
351,180,642,3
352,180,643,3
351,180,643,3
350,179,641,3
351,180,642,3
364,186,695,3
385,194,706,3
395,200,720,3
401,203,721,3
400,203,723,3
398,198,627,3
344,178,627,3
346,175,626,3
345,176,629,3
348,176,631,3
349,176,630,3
349,176,629,3
348,175,628,3
346,175,628,3
347,173,630,3
347,175,629,3
347,173,628,3
346,174,631,3
348,175,632,3
349,175,633,3
349,175,633,3
349,173,635,3
350,174,638,3
351,174,642,3
351,175,641,3
351,174,644,3
351,175,643,3
350,175,643,3
350,174,643,3
349,174,641,3
348,173,642,3
346,174,642,3
348,173,643,3
348,175,696,3
391,193,738,3
405,201,725,3
393,194,687,3
377,187,686,3
375,186,673,3
361,180,644,3
350,176,643,3
351,175,643,3
351,176,643,3
350,175,642,3
350,175,644,3
350,175,642,3
349,174,642,3
350,175,642,3
350,174,641,3
349,174,634,3
341,172,614,3
332,171,545,3
311,162,508,3
299,156,493,3
294,153,492,3
292,152,496,3
295,154,538,3
307,160,543,3
310,165,544,3
312,168,545,3
312,166,545,3
311,164,544,3
310,162,544,3
310,163,544,3
310,164,545,3
311,165,545,3
312,167,546,3
5,42,155,4
76,41,155,4
76,42,153,4
76,42,153,4
76,41,153,4
76,42,152,4
76,41,158,4
78,42,155,4
77,42,154,4
75,42,155,4
76,41,155,4
76,42,153,4
76,42,153,4
76,41,153,4
76,42,152,4
76,41,158,4
78,42,155,4
77,42,154,4
75,42,155,4
76,41,155,4
76,42,153,4
76,42,153,4
76,41,153,4
76,42,152,4
16,11,166,4
71,40,236,4
92,50,255,4
98,53,267,4
101,54,280,4
106,55,296,4
110,56,297,4
111,57,292,4
112,57,281,4
109,56,269,4
107,56,257,4
104,55,249,4
103,54,237,4
100,53,229,4
99,52,215,4
96,50,212,4
95,50,207,4
94,50,200,4
93,49,198,4
92,48,192,4
91,48,192,4
91,48,187,4
90,48,183,4
89,47,182,4
89,48,180,4
90,48,179,4
91,48,184,4
92,49,190,4
91,50,180,4
88,47,164,4
83,45,159,4
82,45,155,4
81,44,152,4
80,44,153,4
81,44,151,4
80,44,152,4
81,44,146,4
81,44,146,4
82,44,146,4
82,44,149,4
82,44,150,4
82,44,148,4
81,44,148,4
82,44,147,4
81,46,146,4
82,44,145,4
83,44,155,4
85,46,159,4
87,45,156,4
87,46,156,4
88,46,137,4
84,45,134,4
83,44,130,4
83,44,129,4
82,43,129,4
81,44,129,4
81,43,130,4
80,43,143,4
84,47,350,4
132,65,222,4
103,54,255,4
109,56,289,4
118,61,309,4
121,61,285,4
117,60,277,4
115,59,281,4
116,60,283,4
116,60,273,4
114,59,269,4
113,58,264,4
112,58,275,4
114,59,265,4
112,58,273,4
113,59,274,4
114,59,276,4
114,59,278,4
115,59,282,4
117,60,289,4
118,61,318,4
128,65,381,4
143,73,385,4
146,73,386,4
146,73,368,4
142,71,376,4
143,72,378,4
145,72,380,4
146,73,383,4
147,74,393,4
150,75,396,4
150,75,398,4
152,76,411,4
156,78,413,4
156,79,413,4
157,79,418,4
158,79,418,4
159,80,421,4
159,80,421,4
159,79,419,4
159,80,421,4
159,79,422,4
159,80,422,4
159,81,427,4
161,81,423,4
162,81,430,4
164,85,500,4
188,97,511,4
193,98,508,4
192,98,508,4
192,97,508,4
192,98,508,4
192,98,504,4
190,97,499,4
189,96,497,4
189,95,497,4
188,95,497,4
189,95,497,4
188,95,478,4
180,90,464,4
176,89,464,4
176,88,455,4
172,86,451,4
171,86,452,4
171,86,453,4
171,86,443,4
168,84,444,4
169,86,445,4
169,84,437,4
167,84,440,4
166,85,440,4
168,85,440,4
168,84,442,4
169,84,435,4
166,83,437,4
166,84,431,4
166,82,420,4
158,77,290,4
124,63,245,4
111,58,236,4
108,56,237,4
107,56,244,4
109,57,256,4
113,58,277,4
120,62,350,4
137,70,379,4
146,73,395,4
152,76,404,4
155,78,407,4
157,78,406,4
155,78,372,4
145,72,332,4
134,69,345,4
138,72,413,4
156,80,421,4
156,78,365,4
141,73,361,4
142,73,385,4
147,75,384,4
146,75,381,4
145,74,377,4
144,74,363,4
140,72,343,4
135,70,345,4
135,70,346,4
136,70,345,4
135,71,346,4
136,70,352,4
137,72,374,4
144,74,382,4
146,76,422,4
160,84,466,4
174,92,495,4
184,100,507,4
190,100,509,4
190,100,509,4
190,99,506,4
188,96,488,4
183,93,482,4
180,92,479,4
179,91,478,4
179,92,478,4
179,92,478,4
179,92,478,4
179,92,479,4
180,92,481,4
180,93,481,4
180,92,480,4
180,92,481,4
180,92,480,4
180,93,481,4
181,93,480,4
180,92,481,4
180,93,481,4
181,92,482,4
180,93,481,4
181,93,482,4
181,93,482,4
180,92,480,4
180,92,482,4
180,93,481,4
180,92,480,4
181,92,481,4
180,92,481,4
180,92,481,4
180,92,482,4
181,93,499,4
215,99,183,5
212,94,183,5
218,95,163,5
195,88,155,5
194,87,152,5
190,86,148,5
187,85,147,5
188,85,149,5
190,87,157,5
116,53,113,5
169,74,150,5
197,83,164,5
205,86,168,5
210,87,176,5
225,93,187,5
223,94,179,5
216,92,145,5
191,86,156,5
201,88,143,5
190,85,140,5
189,86,153,5
199,88,138,5
181,84,140,5
193,86,143,5
195,87,153,5
209,92,176,5
228,98,186,5
235,101,202,5
261,109,310,5
318,126,358,5
328,131,280,5
283,119,216,5
255,109,202,5
250,107,196,5
243,105,191,5
242,104,189,5
240,104,190,5
242,103,189,5
241,103,193,5
246,104,194,5
246,104,192,5
242,102,189,5
242,103,191,5
243,104,189,5
241,104,192,5
245,105,195,5
245,105,193,5
241,104,183,5
233,102,181,5
232,101,184,5
236,102,185,5
235,102,189,5
240,104,194,5
245,104,198,5
247,106,201,5
249,106,213,5
258,108,201,5
233,101,134,5
186,87,122,5
180,84,118,5
176,83,117,5
174,82,115,5
173,81,115,5
172,81,115,5
174,81,116,5
178,82,129,5
185,85,140,5
190,85,123,5
180,83,128,5
186,85,137,5
203,90,154,5
209,94,158,5
207,93,142,5
190,88,126,5
181,84,127,5
183,84,124,5
180,83,124,5
179,83,124,5
185,85,128,5
181,84,124,5
179,83,122,5
177,83,123,5
179,83,124,5
181,84,120,5
177,83,120,5
178,83,120,5
178,83,121,5
179,83,119,5
176,83,119,5
181,84,127,5
185,86,137,5
196,89,140,5
193,88,138,5
197,89,141,5
202,90,165,5
221,96,172,5
221,97,162,5
211,95,149,5
195,90,127,5
184,86,123,5
181,85,122,5
179,84,120,5
177,83,116,5
173,82,115,5
173,82,115,5
172,82,114,5
170,81,113,5
170,81,112,5
168,81,111,5
168,80,110,5
165,80,108,5
161,79,111,5
165,80,111,5
175,83,168,5
222,97,181,5
224,98,167,5
215,96,162,5
211,95,154,5
204,93,156,5
209,95,159,5
208,94,159,5
212,96,177,5
234,103,199,5
239,105,192,5
237,105,195,5
239,105,201,5
244,107,203,5
244,106,202,5
242,106,199,5
244,107,206,5
247,108,206,5
247,109,206,5
248,108,199,5
241,107,193,5
240,106,194,5
239,105,191,5
234,103,180,5
229,102,174,5
221,99,150,5
201,94,148,5
208,96,164,5
220,100,187,5
236,105,193,5
235,104,193,5
239,106,195,5
240,106,201,5
245,108,206,5
247,109,205,5
247,108,208,5
249,110,208,5
249,110,210,5
249,110,202,5
244,108,199,5
243,107,206,5
250,109,217,5
254,111,217,5
254,111,220,5
256,112,222,5
257,113,224,5
258,114,229,5
260,114,228,5
259,113,222,5
256,113,223,5
257,112,224,5
257,113,223,5
255,112,213,5
251,111,214,5
252,112,220,5
255,112,223,5
255,112,217,5
254,111,213,5
249,110,205,5
240,106,184,5
231,103,181,5
225,102,172,5
223,101,175,5
229,103,199,5
238,104,162,5
206,96,145,5
201,93,158,5
211,96,158,5
211,96,180,5
234,103,204,5
247,108,212,5
250,110,215,5
251,110,208,5
248,108,210,5
249,109,211,5
248,108,200,5
243,107,207,5
247,109,212,5
251,110,218,5
254,111,221,5
255,112,226,5
257,113,226,5
258,114,237,5
262,115,228,5
258,114,227,5
259,114,235,5
262,116,235,5
261,116,232,5
261,116,233,5
262,116,239,5
262,116,233,5
260,114,215,5
249,110,204,5
250,109,225,5
256,110,183,5
222,99,180,5
239,104,216,5
251,107,201,5
